GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mybatis_demo2,utils,SqlSessionUtils,6,20,0,0,3,6,1,1,1,1
mybatis_demo2,study.mybatis.pojo,User,39,64,0,0,14,15,7,8,7,8
